Word:			1	1b	2	2b	3	3b	4	4b	5	5b
pang			0	0	0	6e-05	0	4e-05	3e-05	5e-05	0	6e-05
sociability		0	0	0	0	0	0.00015	0	0	0	0
lamps			7e-05	5e-05	0	0	3e-05	0	0	2e-05	0	0.00011
wits			0	0	0	0	4e-05	0	4e-05	3e-05	6e-05	0
hit			7e-05	0	0	0	2e-05	5e-05	3e-05	5e-05	4e-05	6e-05
liability		0	0	0	0	0	0	0	0	0.00015	0
unburied		0	0	0	0	0.00011	0	0	0	0	0
indolently		0	0	0	0	0	0	0.00011	0	0	0
ingenuous		0.00024	0	0	0	0	0	0	0	0	0
hassocks		0	0.00025	0	0	0	0	0	6e-05	0	0
arriving		0	0.00011	0	6e-05	0	4e-05	3e-05	0	9e-05	0
academies		0	0	0	0	7e-05	0.0001	0	0	0	0
